Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Hash Table Creation,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
32768,2,36901,5.85457,4.16676,13.8221,104.997,0.02208,0.00393,0.00465,0.01054,0.00819,0.00113,0.00107,12.4995,102.983,234.353,244.375,
32768,3,110641,7.21736,5.5256,15.2098,104.929,0.0256,0.00464,0.00664,0.01112,0.00975999,0.00144,0.00128,12.5203,103.012,235.732,248.475,
32768,4,184796,8.64224,6.9312,16.551,104.976,0.02928,0.00432,0.00768,0.01232,0.01088,0.0016,0.00192,12.5082,102.855,236.958,252.532,
32768,5,259284,10.0331,8.28944,17.8995,104.991,0.03216,0.00608,0.00864,0.01312,0.01296,0.00144,0.00112,11.1334,102.804,236.904,255.226,
32768,6,334547,11.4624,9.6912,19.5546,104.952,0.0368,0.00672,0.01312,0.00992,0.01568,0.00224,0.00224,12.8781,103.881,241.353,262.507,
32768,7,409990,12.7862,11.0157,20.8147,104.394,0.03904,0.00544,0.0144,0.01184,0.01696,0.00224,0.00224,12.6634,102.731,240.694,264.496,
32768,8,485681,14.1853,12.4118,22.1936,104.446,0.04064,0.0048,0.01856,0.01024,0.02112,0.00192,0.00128,12.6432,102.741,242.123,268.72,
32768,9,561770,15.583,13.7626,23.5325,104.39,0.04672,0.00768,0.01728,0.01216,0.02368,0.00032,0.00128,12.681,102.653,243.365,272.711,
32768,10,638426,16.9837,15.175,25.0387,104.561,0.05184,0.00512,0.02048,0.01664,0.01792,0.00384,0.00128,12.7603,103.146,245.624,277.782,
32768,11,715313,18.3206,16.4723,26.1574,104.296,0.05568,0.00448,0.0224,0.01472,0.02304,0,0.00192,12.567,102.195,245.338,280.131,
32768,12,792453,19.7178,17.9078,27.488,104.316,0.05184,0.01088,0.01728,0.01536,0.02944,0.00064,0.00192,12.5382,102.47,246.94,284.565,
32768,13,869959,21.0784,19.2896,28.8723,104.282,0.05696,0.01152,0.02432,0.01344,0.0256,0.00576,0.00256,11.12,102.737,247.151,287.519,
32768,14,947844,22.4698,20.6074,30.2342,104.306,0.0608,0.00704,0.0288,0.01536,0.02432,0.00448,0.0032,12.5018,102.041,249.227,292.304,
32768,15,1.02619e+06,23.8912,22.0282,31.4758,104.303,0.06656,0.01152,0.0256,0.01216,0.03264,0.00256,0.00384,12.5171,102.208,250.659,296.578,
32768,16,1.10496e+06,25.2397,23.3683,32.9408,104.302,0.064,0.01152,0.02944,0.01536,0.0352,0,0.00512,12.5075,102.362,252.273,300.881,
32768,17,1.18415e+06,26.6291,24.759,34.3334,104.305,0.06784,0.01408,0.02816,0.01664,0.03456,0.00256,0.00256,12.4966,102.228,253.53,304.918,
32768,18,1.26375e+06,28.0269,26.1542,35.7491,104.269,0.0767999,0.00896,0.03072,0.01408,0.03328,0.00128,0.00512,12.4698,102.235,254.893,309.074,
32768,19,1.34376e+06,29.4067,27.511,37.0752,104.279,0.0844799,0.00256,0.02944,0.01792,0.04352,0.00512,0.00384,12.4211,102.501,256.463,313.381,
32768,20,1.42417e+06,30.793,28.8934,38.3885,104.293,0.0755199,0.01152,0.03968,0.01536,0.0384,0.00256,0.00256,12.4083,102.2,257.476,317.162,
32768,70,1.515e+06,99.9565,97.6691,106.094,104.288,0.24832,0.02048,0.12416,0.03072,0.11008,0.0064,0.01152,12.4211,102.341,325.696,523.322,
32768,80,1.61832e+06,113.719,111.521,119.95,104.253,0.28544,0.02304,0.1344,0.03712,0.12544,0.01024,0.01024,12.361,102.278,339.469,564.709,
32768,90,1.7257e+06,127.544,125.148,133.389,104.279,0.32256,0.02432,0.15488,0.0448,0.14336,0.01152,0.01152,12.393,102.12,352.893,605.586,
32768,100,1.8372e+06,141.349,138.781,147.16,104.299,0.34432,0.04096,0.17536,0.03584,0.15488,0.01024,0.01024,12.4966,102.084,366.812,646.943,
32768,110,1.95282e+06,155.128,152.721,160.713,104.28,0.37888,0.03712,0.18816,0.05248,0.15488,0.00768,0.01152,12.4442,102.038,380.306,688.155,
32768,116,2.07173e+06,163.4,160.806,168.378,104.278,0.40192,0.03328,0.2048,0.03968,0.1792,0.01152,0.01408,12.4326,102.185,388.157,712.363,
