Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Hash Table Creation,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
1024,2,97.4648,6.3758,0.0594,8.1994,3.2264,0.0192,0.0042,0.0044,0.0066,0.0104,0.0018,0.001,3.0854,3.0902,17.649,24.0842,
1024,3,296.761,6.9292,0.0598,10.7364,3.1796,0.0198,0.0042,0.006,0.0068,0.0128,0.0012,0.001,3.0104,3.0134,19.9916,26.9806,
1024,4,512.109,8.3614,0.0854,13.3338,3.0974,0.0222,0.0046,0.008,0.0068,0.0144,0.0016,0.001,2.9802,2.942,22.412,30.8588,
1024,5,745.357,9.5226,0.0858,15.6902,3.1056,0.0248,0.0052,0.0092,0.0074,0.0174,0.0016,0.0012,1.6392,2.8982,23.4,33.0084,
1024,6,995.958,11.2756,0.1228,18.9626,3.2126,0.031,0.0062,0.0114,0.0094,0.0204,0.0016,0.0014,3.0564,3.0106,28.3236,39.722,
1024,7,1275.69,12.3688,0.127,21.0582,3.1308,0.0316,0.0058,0.013,0.0092,0.0226,0.002,0.0012,2.9506,2.93,30.155,42.6508,
1024,8,1569.7,13.6238,0.1514,23.4956,3.0984,0.035,0.0066,0.0136,0.0104,0.0254,0.002,0.0012,2.9544,2.9272,32.5698,46.345,
1024,9,1881.19,15.1104,0.1656,26.1072,3.1208,0.0382,0.0078,0.0156,0.012,0.0276,0.002,0.0018,2.9498,2.9288,35.2116,50.4876,
1024,10,2214.88,16.1908,0.1842,28.7236,3.1704,0.0416,0.0074,0.0176,0.0126,0.0308,0.0026,0.0018,2.986,2.9864,37.9808,54.3558,
1024,11,2566.37,17.4428,0.1948,31.4008,3.0984,0.0436,0.0082,0.0194,0.0134,0.0328,0.0024,0.0016,2.9384,2.9462,40.5052,58.1428,
1024,12,2937.01,18.991,0.2176,34.1168,3.1158,0.0468,0.009,0.0208,0.0144,0.0358,0.0024,0.0018,2.957,2.937,43.2576,62.4662,
1024,13,3326.56,20.045,0.2238,36.2726,3.1,0.0498,0.0092,0.0222,0.0156,0.0384,0.0026,0.002,1.652,2.9432,44.1076,64.3764,
1024,14,3733.13,21.5772,0.253,38.87,3.0574,0.0518,0.0098,0.023,0.0162,0.0422,0.0026,0.002,2.9548,2.9386,47.9684,69.7986,
1024,15,4166.25,23.5656,0.2608,42.8596,3.212,0.0586,0.0106,0.0258,0.0194,0.045,0.0026,0.0026,3.052,3.0318,52.32,76.1464,
1024,16,4630.25,24.678,0.2886,44.883,3.154,0.0598,0.0108,0.0268,0.0188,0.0464,0.0028,0.0026,2.9908,3.0528,54.2486,79.2152,
1024,17,5121.23,27.9314,0.3366,51.4624,3.374,0.077,0.0128,0.0306,0.0226,0.0544,0.003,0.0036,3.2808,3.3236,61.6448,89.9128,
1024,18,5659.66,29.0664,0.35,53.5022,3.3764,0.0748,0.013,0.0348,0.0242,0.0656,0.0052,0.0032,3.274,3.3032,63.6766,93.093,
1024,19,6203.99,29.3516,0.3426,54.5916,3.3126,0.075,0.0132,0.0352,0.0238,0.0588,0.0032,0.003,3.2276,3.1726,64.5166,94.2108,
1024,20,6754.83,30.2272,0.36,56.5504,3.2718,0.0792,0.0144,0.0352,0.0252,0.06,0.0032,0.0034,3.118,3.1432,66.304,96.8912,
1024,70,7713.26,98.1996,1.248,188.184,3.1808,0.2342,0.0374,0.1136,0.0872,0.2008,0.0074,0.0092,3.15,3.1396,198.344,297.792,
1024,80,9366.88,112.784,1.401,214.605,3.186,0.2624,0.0426,0.1324,0.0966,0.234,0.0082,0.0092,3.0438,3.0492,224.669,338.854,
1024,90,11189.3,121.86,1.5436,234.352,3.1334,0.2892,0.0466,0.1432,0.1074,0.2516,0.0086,0.0104,3.0012,2.9716,244.315,367.718,
1024,100,13184.7,136.066,1.7002,263.705,3.1616,0.323,0.0512,0.1612,0.1218,0.2834,0.0102,0.0112,2.9972,3.0238,273.849,411.615,
1024,110,15418.4,152.987,1.9522,293.17,3.1788,0.3608,0.0582,0.1792,0.139,0.3302,0.0114,0.015,3.0248,3.0092,303.477,458.416,
1024,116,17833.6,159.062,1.9904,311.997,3.1416,0.3656,0.06,0.1904,0.1484,0.35,0.0108,0.0148,3.0552,2.9976,322.331,483.384,
