Data Size(KB),No. Tags,Launch Time,Init ,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of Payload by sub,Total Time without Init,Total Time,
1,1,159.816,16.7256,15.8995,0.0136,0.0015,0.0341,0.0044,0.0009,0.0005,1.3711,1.4261,34.0512,
1,2,494.974,16.3513,15.8694,0.0198,0.0032,0.0346,0.0059,0.0011,0.0009,1.3254,1.3909,33.6116,
1,3,828.35,16.0918,15.7154,0.0237,0.0032,0.034,0.0073,0.0015,0.0007,1.3384,1.4088,33.216,
1,4,1163.46,16.0797,15.7387,0.028,0.0033,0.0347,0.0089,0.0013,0.0017,1.3239,1.4018,33.2202,
1,5,1497.08,16.3563,15.9061,0.0355,0.004,0.0343,0.0112,0.0014,0.0011,1.3475,1.435,33.6974,
1,6,1830.94,16.122,15.6406,0.0407,0.0052,0.0339,0.0126,0.0017,0.001,1.3283,1.4234,33.186,
1,7,2165.21,16.2372,15.5495,0.0439,0.0046,0.0342,0.0141,0.0017,0.0011,1.3372,1.4368,33.2235,
1,8,2499.06,16.4008,15.7954,0.0543,0.0051,0.0352,0.0164,0.0017,0.0015,1.3651,1.4793,33.6755,
1,9,2833.88,16.1676,15.6519,0.0563,0.0052,0.034,0.0179,0.0018,0.001,1.3338,1.45,33.2695,
1,10,3169.03,16.1803,15.7173,0.0591,0.0051,0.0335,0.0196,0.0018,0.0011,1.3282,1.4484,33.346,
1,11,3504.41,16.4416,15.8936,0.0675,0.0059,0.0341,0.0219,0.002,0.0011,1.35,1.4825,33.8177,
1,12,3840.19,16.1912,15.7911,0.0715,0.0059,0.0334,0.0233,0.0019,0.0013,1.3458,1.4831,33.4654,
1,13,4177.07,16.2569,15.7724,0.0751,0.0062,0.0334,0.0249,0.0021,0.0011,1.3369,1.4797,33.509,
1,14,4512.86,16.3023,15.9104,0.0831,0.0063,0.0337,0.0273,0.002,0.0011,1.3484,1.5019,33.7146,
1,15,4847.78,16.1776,15.7112,0.0882,0.0069,0.0337,0.029,0.0023,0.0012,1.3453,1.5066,33.3954,
1,16,5183.68,16.1102,15.6823,0.091,0.0067,0.0333,0.0304,0.0022,0.002,1.3448,1.5104,33.3029,
1,17,5518.82,16.2551,15.9523,0.099,0.0078,0.0344,0.033,0.0024,0.0012,1.3453,1.5231,33.7305,
1,18,5854.16,16.2174,15.7925,0.105,0.0077,0.0342,0.0345,0.0026,0.0014,1.3386,1.524,33.5339,
1,19,6190.65,16.092,15.7837,0.1062,0.0083,0.0339,0.0366,0.0025,0.0013,1.3296,1.5184,33.3941,
1,20,6526.17,16.342,15.7792,0.1133,0.0082,0.0334,0.0385,0.0024,0.0013,1.3284,1.5255,33.6467,
1,70,6863.88,16.5072,15.8593,0.3761,0.0232,0.0335,0.0543,0.0066,0.0011,1.3631,1.8579,34.2244,
1,80,7206.86,16.4549,15.6648,0.4296,0.027,0.0347,0.0573,0.0075,0.0012,1.3379,1.8952,34.0149,
1,90,7549.94,16.578,15.8978,0.4811,0.0291,0.0332,0.061,0.008,0.0014,1.3558,1.9696,34.4454,
1,100,7894.22,16.6691,15.8681,0.5331,0.032,0.0341,0.0679,0.0087,0.0015,1.3632,2.0405,34.5777,
1,110,8240.04,16.5525,15.6893,0.581,0.035,0.0339,0.0671,0.0099,0.0011,1.3498,2.0778,34.3196,
1,116,8586.19,16.6671,15.8495,0.6128,0.038,0.0339,0.0714,0.01,0.0011,1.3659,2.1331,34.6497,
1024,1,9038.42,16.3183,18.9131,0.0157,0.0016,0.0337,0.0044,0.0011,0.0008,4.6509,4.7082,39.9396,
1024,2,9584.2,16.2377,18.9793,0.0206,0.003,0.0341,0.0059,0.0011,0.0008,4.6205,4.686,39.903,
1024,3,10136.5,16.5972,19.4699,0.0273,0.0033,0.0354,0.0087,0.0011,0.0011,4.8445,4.9214,40.9885,
1024,4,10699.1,16.6855,19.6122,0.0333,0.0041,0.0369,0.0097,0.0016,0.0009,4.8379,4.9244,41.2221,
1024,5,11254.4,16.5232,19.318,0.0385,0.0043,0.0345,0.0116,0.0014,0.0011,4.6869,4.7783,40.6195,
1024,6,11803.3,16.2314,18.9866,0.0422,0.004,0.0337,0.0132,0.0015,0.0012,4.5795,4.6753,39.8933,
1024,7,12346.9,16.2223,18.9894,0.0502,0.0047,0.0356,0.0149,0.0017,0.0013,4.6642,4.7726,39.9843,
1024,8,12891.3,16.0931,18.9301,0.0524,0.0049,0.0338,0.0163,0.0019,0.0012,4.5901,4.7006,39.7238,
1024,9,13438.1,16.271,18.9608,0.0589,0.0053,0.0341,0.0186,0.0018,0.0011,4.6256,4.7454,39.9772,
1024,10,13983.2,16.232,18.9248,0.0658,0.0054,0.0341,0.0203,0.0018,0.0015,4.6415,4.7704,39.9272,
1024,11,14528.1,16.2067,19.0309,0.0691,0.0058,0.034,0.022,0.002,0.0013,4.6331,4.7673,40.0049,
1024,12,15072.7,16.1492,18.9967,0.0756,0.0063,0.0338,0.0238,0.0019,0.0015,4.5991,4.742,39.8879,
1024,13,15615.5,16.0927,18.9255,0.0813,0.0072,0.0343,0.0256,0.0021,0.0016,4.6373,4.7894,39.8076,
1024,14,16158.3,16.1253,18.8281,0.0847,0.0067,0.0342,0.0274,0.0021,0.0015,4.6099,4.7665,39.7199,
1024,15,16700.9,16.277,18.8739,0.0913,0.0073,0.0331,0.0294,0.0022,0.0014,4.5589,4.7236,39.8745,
1024,16,17243,16.1308,19.0462,0.095,0.007,0.0344,0.0308,0.0022,0.0016,4.5994,4.7704,39.9474,
1024,17,17785.6,16.1628,18.8422,0.1014,0.0076,0.0344,0.0328,0.0026,0.0014,4.6038,4.784,39.789,
1024,18,18329.2,16.1956,18.8786,0.1054,0.0082,0.0334,0.0354,0.002,0.0016,4.6156,4.8016,39.8758,
1024,19,18872.9,16.2152,18.8728,0.1142,0.0078,0.0336,0.0366,0.0026,0.0012,4.5818,4.7778,39.8658,
1024,20,19418.7,16.1884,19.0244,0.1156,0.009,0.033,0.0388,0.0026,0.0014,4.613,4.8134,40.0262,
1024,70,19966.7,16.4202,18.9526,0.378,0.0226,0.0346,0.0542,0.0064,0.0016,4.6238,5.1212,40.494,
1024,80,20518.6,16.5148,19.0026,0.4298,0.0262,0.033,0.061,0.0072,0.0012,4.6426,5.201,40.7184,
1024,90,21070.8,16.5782,19.0764,0.4778,0.029,0.033,0.0608,0.0086,0.0014,4.6302,5.2408,40.8954,
1024,100,21624.1,16.5412,19.0958,0.5344,0.0316,0.0342,0.0634,0.009,0.0012,4.626,5.2998,40.9368,
1024,110,22177.8,16.5986,19.071,0.5912,0.0354,0.034,0.0674,0.0092,0.0018,4.6426,5.3816,41.0512,
1024,116,22732.7,16.607,19.0972,0.6274,0.0376,0.034,0.0698,0.0104,0.0012,4.639,5.4194,41.1236,
2048,1,23391.8,16.1262,22.0034,0.0164,0.0018,0.0332,0.0058,0.0006,0.0002,7.9256,7.9836,46.1132,
2048,2,24146.4,16.1246,22.1978,0.0242,0.0036,0.0358,0.006,0.0014,0.001,8.0696,8.1416,46.464,
2048,3,24901.9,16.2266,22.0276,0.0284,0.0038,0.0336,0.0078,0.0014,0.001,7.9108,7.9868,46.241,
2048,4,25656.4,16.2034,22.323,0.034,0.004,0.0342,0.0094,0.0018,0.001,7.9096,7.994,46.5204,
2048,5,26411.8,16.0838,22.0232,0.0376,0.0042,0.0336,0.0116,0.0012,0.0016,7.941,8.0308,46.1378,
2048,6,27166.2,16.2316,22.2182,0.0452,0.0046,0.0344,0.013,0.0012,0.0018,8.0394,8.1396,46.5894,
2048,7,27921,16.1118,22.0654,0.0488,0.0044,0.0342,0.0154,0.0012,0.0012,7.8594,7.9646,46.1418,
2048,8,28675,16.1768,22.0908,0.0564,0.0048,0.034,0.0166,0.002,0.0014,7.9528,8.068,46.3356,
2048,9,29429.5,16.089,22.0116,0.0594,0.0056,0.035,0.019,0.0018,0.0008,7.9108,8.0324,46.133,
2048,10,30184.2,16.1596,22.2302,0.0666,0.0058,0.0346,0.0202,0.0014,0.0018,8.0244,8.1548,46.5446,
2048,11,30939.3,16.0598,21.975,0.073,0.006,0.0336,0.0226,0.002,0.0016,7.9588,8.0976,46.1324,
2048,12,31694.3,16.2922,22.1524,0.0768,0.0062,0.0344,0.0236,0.0024,0.0012,7.992,8.1366,46.5812,
2048,13,32450.8,16.115,22.1236,0.0812,0.0062,0.035,0.0274,0.0016,0.0014,7.8842,8.037,46.2756,
2048,14,33205.1,16.2676,22.1998,0.088,0.0064,0.035,0.0274,0.002,0.0022,7.9632,8.1242,46.5916,
2048,15,33960.3,16.0152,22.038,0.0904,0.0076,0.0336,0.0292,0.0028,0.0012,7.8628,8.0276,46.0808,
2048,16,34714.6,16.2872,22.2092,0.0984,0.0076,0.034,0.0312,0.0028,0.0012,7.95,8.1252,46.6216,
2048,17,35471.1,16.1532,22.0772,0.1008,0.008,0.0328,0.0328,0.0028,0.002,7.9316,8.1108,46.3412,
2048,18,36227,16.28,22.2752,0.1072,0.008,0.034,0.0356,0.002,0.0012,7.918,8.106,46.6612,
2048,19,36982.4,16.0688,22.1008,0.1152,0.0088,0.0328,0.0372,0.0016,0.002,7.8532,8.0508,46.2204,
2048,20,37737.2,16.2864,22.1932,0.1208,0.008,0.0356,0.0412,0.0012,0.002,7.9632,8.172,46.6516,
