Data Size(KB),No. Tags,Launch Time,Init ,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of Payload by sub,Total Time without Init,Total Time,
1,1,2.657,25.348,16.909,0.017,0.002,0.003,0.006,0.001,0.001,1.4,1.43,43.687,
1,2,46.437,17.334,16.66,0.022,0.003,0.005,0.006,0.001,0.001,1.368,1.406,35.4,
1,3,81.921,17.697,16.178,0.027,0.003,0.007,0.007,0.001,0.001,1.367,1.413,35.288,
1,4,117.295,17.596,16.142,0.031,0.005,0.008,0.009,0.001,0.001,1.342,1.397,35.135,
1,5,152.52,17.614,16.446,0.037,0.004,0.01,0.011,0.001,0.001,1.36,1.424,35.484,
1,6,188.094,17.799,16.434,0.041,0.005,0.012,0.012,0.001,0.001,1.354,1.426,35.659,
1,7,223.844,17.294,16.438,0.048,0.004,0.014,0.013,0.002,0.001,1.383,1.465,35.197,
1,8,259.133,17.315,16.561,0.053,0.005,0.014,0.016,0.001,0.002,1.324,1.415,35.291,
1,9,294.515,17.309,16.335,0.058,0.006,0.016,0.018,0.002,0.001,1.385,1.486,35.13,
1,10,329.744,17.309,16.238,0.08,0.006,0.018,0.019,0.001,0.001,1.373,1.498,35.045,
1,11,364.881,17.505,15.988,0.066,0.006,0.02,0.021,0.002,0.002,1.378,1.495,34.988,
1,12,399.956,17.065,15.943,0.073,0.007,0.021,0.023,0.002,0.002,1.367,1.495,34.503,
1,13,434.537,17.277,16.184,0.077,0.007,0.023,0.025,0.002,0.002,1.331,1.467,34.928,
1,14,469.547,17.065,16.062,0.081,0.006,0.024,0.026,0.003,0.001,1.344,1.485,34.612,
1,15,504.243,17.006,16.39,0.087,0.007,0.026,0.028,0.003,0.011,1.424,1.586,34.982,
1,16,539.307,17.514,16.564,0.094,0.007,0.027,0.03,0.003,0.013,1.468,1.642,35.72,
1,17,575.115,17.315,17.007,0.104,0.008,0.031,0.034,0.002,0.002,1.416,1.597,35.919,
1,18,611.135,17.523,16.124,0.105,0.008,0.031,0.034,0.002,0.002,1.369,1.551,35.198,
1,19,646.431,17.417,16.328,0.113,0.009,0.032,0.038,0.002,0.011,1.443,1.648,35.393,
1,20,681.907,17.454,17.042,0.124,0.01,0.035,0.041,0.003,0.014,1.434,1.661,36.157,
1,70,718.153,17.527,16.768,0.385,0.025,0.115,0.168,0.007,0.001,1.366,2.067,36.362,
1,80,754.616,17.253,16.471,0.427,0.027,0.127,0.192,0.008,0.001,1.352,2.134,35.858,
1,90,790.572,17.356,16.554,0.478,0.03,0.14,0.226,0.008,0.002,1.354,2.238,36.148,
1,100,826.827,17.288,16.465,0.528,0.033,0.158,0.259,0.009,0.013,1.548,2.548,36.301,
1,110,863.217,17.735,16.878,0.607,0.04,0.179,0.338,0.011,0.002,1.385,2.562,37.175,
1,116,900.491,17.45,15.949,0.608,0.038,0.181,0.357,0.01,0.001,1.289,2.484,35.883,
