Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Hash Table Creation,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
1024,2,98.6392,6.3578,0.0598,8.4346,3.2416,0.021,0.004,0.0044,0.0102,0.0084,0.001,0.0012,3.0868,3.1256,17.9388,24.3564,
1024,3,297.868,6.9404,0.0546,10.6694,3.1798,0.0202,0.004,0.0062,0.0096,0.009,0.0014,0.001,3.002,3.001,19.9036,26.8986,
1024,4,514.359,8.095,0.0782,13.0644,3.093,0.0218,0.0048,0.0072,0.0102,0.0098,0.0016,0.0012,3.0682,2.9678,22.25,30.4232,
1024,5,745.814,9.6134,0.0924,15.7604,3.1132,0.0254,0.0048,0.0094,0.0102,0.012,0.0014,0.001,1.6444,2.9614,23.5436,33.2494,
1024,6,998.214,11.266,0.1238,18.6664,3.1194,0.0284,0.0058,0.0108,0.011,0.0136,0.0018,0.0012,2.937,2.9214,27.7168,39.1066,
1024,7,1276.45,12.405,0.1206,21.094,3.115,0.0322,0.0064,0.0126,0.0112,0.0156,0.0016,0.0014,2.9564,2.9422,30.1886,42.7142,
1024,8,1571.14,13.4526,0.1442,23.3448,3.0938,0.0352,0.007,0.0142,0.0126,0.0168,0.0018,0.0016,2.8918,2.9142,32.3338,45.9306,
1024,9,1883.29,14.8702,0.1624,26.193,3.1054,0.0378,0.0076,0.0158,0.0114,0.0184,0.002,0.0016,2.9808,2.999,35.3728,50.4054,
1024,10,2214.96,16.1376,0.1808,28.6648,3.1254,0.0426,0.008,0.0178,0.0116,0.0216,0.002,0.0016,2.9278,2.9932,37.8164,54.1348,
1024,11,2565.67,17.4232,0.1832,30.8424,3.1084,0.047,0.0086,0.019,0.012,0.0218,0.0016,0.002,2.9072,2.9488,39.9188,57.5252,
1024,12,2936.14,18.865,0.2266,34.069,3.1574,0.0482,0.0092,0.021,0.0128,0.0238,0.002,0.0022,2.978,2.9504,43.274,62.3656,
1024,13,3323.83,20.1762,0.226,36.131,3.2032,0.0516,0.0098,0.0222,0.0126,0.0254,0.0024,0.0022,1.653,2.9988,44.1122,64.5144,
1024,14,3729.2,21.5096,0.2542,38.7158,3.095,0.0528,0.0094,0.024,0.0124,0.027,0.002,0.002,2.9378,2.9308,47.809,69.5728,
1024,15,4158.45,22.6508,0.2516,41.3132,3.1556,0.057,0.0106,0.0262,0.0132,0.0286,0.0028,0.0022,2.9882,2.9598,50.5574,73.4598,
1024,16,4606.09,24.0888,0.2928,44.1374,3.0748,0.0584,0.0112,0.027,0.0132,0.03,0.0026,0.002,2.9234,2.9044,53.1844,77.566,
1024,17,5073.56,25.276,0.282,46.5786,3.0904,0.0624,0.0122,0.029,0.0136,0.0334,0.0026,0.0028,2.9362,2.8948,55.656,81.214,
1024,18,5560.38,26.6032,0.309,49.3402,3.1668,0.0684,0.0126,0.0328,0.0146,0.036,0.0026,0.0028,2.9886,2.9582,58.6236,85.5358,
1024,19,6068.51,27.8548,0.319,52.315,3.1456,0.07,0.013,0.0318,0.0148,0.0354,0.0028,0.003,2.9688,2.9344,61.5346,89.7084,
1024,20,6595.26,29.6072,0.3544,54.188,3.09,0.0724,0.0126,0.0354,0.0144,0.0394,0.0042,0.0042,2.922,2.9606,63.3432,93.3048,
1024,70,7524.35,95.3266,1.1892,182.794,3.1472,0.2262,0.0396,0.1138,0.0302,0.108,0.007,0.0078,2.9236,2.937,192.335,288.85,
1024,80,9121.12,109.1,1.3848,207.608,3.078,0.2524,0.043,0.1276,0.0326,0.1218,0.0076,0.0088,2.892,2.8948,217.067,327.551,
1024,90,10911.1,122.607,1.586,238.846,3.1616,0.3012,0.0482,0.1456,0.0362,0.1384,0.0084,0.0104,2.981,3.0004,248.678,372.87,
1024,100,12957.5,143.302,1.7776,275.867,3.2674,0.3478,0.0556,0.1702,0.0406,0.1554,0.0098,0.0122,3.1494,3.1784,286.254,431.334,
1024,110,15248,151.537,1.9334,286.905,3.0862,0.3558,0.064,0.1798,0.0418,0.161,0.0102,0.0124,2.9436,2.9688,296.729,450.199,
1024,116,17619.6,155.941,2.0388,304.108,3.136,0.3684,0.0616,0.1904,0.0436,0.1704,0.0112,0.0128,2.9264,2.91,313.938,471.918,
