Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Hash Table Creation,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
1,2,815.107,5.56562,0.04737,7.99134,0.00761,0.01304,0.00299,0.00442,0.00872,0.0064,0.00126,0.00086,2.66256,0.00714,10.7063,16.3193,
1,3,2640.01,6.84219,0.05223,10.5247,0.00673,0.01619,0.00349,0.00598,0.00904,0.00818,0.00142,0.0009,2.66491,0.00653,13.248,20.1425,
1,4,4858.46,8.17932,0.08052,13.193,0.00721,0.0192,0.0042,0.00763001,0.00971,0.00974,0.00138,0.00105,2.66766,0.0064,15.9272,24.187,
1,5,7413.6,9.53859,0.08873,15.8038,0.00721,0.02239,0.00467,0.00968,0.00962,0.01164,0.00153,0.00104,1.33435,0.00621,17.2121,26.8394,
1,6,10375.1,11.0788,0.12179,18.7608,0.00806,0.02707,0.00528,0.01159,0.01032,0.01368,0.00172,0.00128,2.7051,0.00764,21.5525,32.7531,
1,7,13887,12.8364,0.14546,22.0814,0.01011,0.03234,0.00648,0.01313,0.01164,0.01588,0.00177,0.00141,2.77807,0.0093,24.9615,37.9434,
1,8,18086,14.7537,0.1907,25.5676,0.01276,0.03761,0.00771,0.0158,0.01271,0.01853,0.00207,0.00151,2.86831,0.01242,28.5571,43.5014,
1,9,22353.3,14.5921,0.1527,25.7708,0.00692,0.03464,0.00656,0.0158,0.01106,0.01794,0.0019,0.00134,2.6119,0.0065,28.4854,43.2302,
1,10,26869,15.8826,0.1787,28.2792,0.0073,0.03814,0.0072,0.01756,0.01094,0.01992,0.00198,0.00136,2.59924,0.00634,30.9892,47.0505,
1,11,31773.3,17.2229,0.1863,30.866,0.00718,0.04122,0.00772,0.01884,0.0115,0.02122,0.00206,0.00152,2.60578,0.00658,33.5896,50.9988,
1,12,37076.9,18.5124,0.21352,33.4943,0.00732,0.04444,0.00812,0.0208,0.01232,0.02332,0.00216,0.0012,2.60428,0.0066,36.2249,54.9508,
