Data Size(KB),No. Tags,Init,Encrypt of Payload by Pub,Encrypt Of Filter,Permutation Time on Sub,Encrypt Of Tags,Search time of B1,PRP reverse B2,Evaluation of tree by B3,Decryption of Payload by sub,Total Time,Total Time without Init,
1,1,20.01,13.196,0.262,0.051,0.042,0.004,0.002,0.001,3.303,36.871,16.861,
1,2,52.379,16.775,0.038,0.006,0.027,0.003,0.002,0.001,3.761,72.992,20.613,
1,3,87.116,13.102,0.039,0.005,0.027,0.003,0.001,0.001,3.203,103.497,16.381,
1,4,117.133,13.404,0.039,0.006,0.028,0.003,0.002,0.001,3.427,134.043,16.91,
1,5,148.529,14.873,0.089,0.02,0.027,0.003,0.002,0.001,3.453,166.997,18.468,
1,6,181.305,14.153,0.04,0.006,0.094,0.004,0.002,0.001,4.522,200.127,18.822,
1,7,215.77,15.73,0.04,0.006,0.028,0.002,0.002,0.001,3.542,235.121,19.351,
1,8,251.073,17.292,0.039,0.006,0.052,0.003,0.015,0.001,3.43,271.911,20.838,
1,9,286.014,13.281,0.042,0.006,0.028,0.003,0.002,0.001,3.288,302.665,16.651,
1,10,317.041,13.358,0.04,0.006,0.027,0.003,0.002,0.001,3.258,333.736,16.695,
1,11,348.069,13.304,0.039,0.006,0.028,0.002,0.002,0.001,3.515,364.966,16.897,
1,12,378.523,13.366,0.05,0.007,0.028,0.003,0.002,0.001,3.304,395.284,16.761,
1,13,409.294,13.294,0.039,0.006,0.026,0.003,0.002,0.001,4.189,426.854,17.56,
1,14,445.643,17.168,0.04,0.006,0.027,0.003,0.002,0.001,4.275,467.165,21.522,
1,15,483.895,13.601,0.042,0.007,0.027,0.003,0.002,0.001,3.948,501.526,17.631,
1,16,516.958,14.855,0.082,0.011,0.027,0.003,0.002,0.001,3.742,535.681,18.723,
1,17,551.503,13.594,0.04,0.006,0.027,0.002,0.002,0.001,4.468,569.643,18.14,
1,18,586.21,14.571,0.039,0.006,0.027,0.003,0.001,0.001,3.783,604.641,18.431,
1,19,618.563,13.382,0.038,0.007,0.026,0.003,0.002,0.001,3.229,635.251,16.688,
1,20,648.725,12.975,0.039,0.005,0.028,0.003,0.001,0.001,3.204,664.981,16.256,
1000,1,687.993,14.708,0.071,0.007,0.029,0.003,0.002,0.001,5.265,708.079,20.086,
1000,2,732.217,19.903,0.057,0.007,0.026,0.003,0.002,0.001,5.193,757.409,25.192,
1000,3,780.482,20.451,0.066,0.008,0.04,0.003,0.002,0,5.12,806.172,25.69,
1000,4,829.614,14.585,0.041,0.006,0.027,0.003,0.002,0.001,5.519,849.798,20.184,
1000,5,875.786,21.476,0.045,0.007,0.068,0.004,0.002,0.001,7.13,904.519,28.733,
1000,6,929.327,16.707,0.084,0.017,0.042,0.003,0.002,0,5.355,951.537,22.21,
1000,7,977.825,14.895,0.045,0.007,0.027,0.002,0.002,0.001,5.338,998.142,20.317,
1000,8,1021.99,15.565,0.071,0.007,0.029,0.003,0.002,0.001,5.426,1043.1,21.104,
1000,9,1067.56,15.2,0.043,0.006,0.027,0.003,0.002,0.001,5.192,1088.04,20.474,
1000,10,1111.35,14.848,0.041,0.006,0.028,0.003,0.001,0.001,5.084,1131.36,20.012,
1000,11,1155.48,14.947,0.041,0.006,0.056,0.002,0.002,0.001,5.25,1175.78,20.305,
1000,12,1202.26,15.724,0.205,0.007,0.026,0.003,0.002,0.001,5.432,1223.66,21.4,
1000,13,1251.51,19.453,0.044,0.018,0.042,0.003,0.001,0.001,6.301,1277.37,25.863,
1000,14,1305.09,20.787,0.087,0.029,0.091,0.005,0.003,0.001,7.625,1333.71,28.628,
1000,15,1362.88,20.775,0.07,0.007,0.121,0.016,0.002,0.001,7.179,1391.05,28.171,
1000,16,1424.84,15.028,0.043,0.006,0.027,0.003,0.002,0.001,5.09,1445.04,20.2,
1000,17,1469.29,14.786,0.045,0.005,0.038,0.003,0.002,0.001,5.119,1489.29,19.999,
1000,18,1515.23,16.557,0.043,0.006,0.027,0.003,0.002,0.001,5.445,1537.31,22.084,
1000,19,1565.68,14.907,0.043,0.006,0.028,0.003,0.002,0.001,5.523,1586.19,20.513,
1000,20,1613.45,19.253,0.043,0.007,0.054,0.003,0.002,0.001,6.268,1639.08,25.631,
2000,1,1682.19,19.17,0.046,0.007,0.097,0.009,0.003,0.001,8.565,1710.09,27.898,
2000,2,1751.98,19.121,0.047,0.007,0.256,0.006,0.002,0.001,8.169,1779.59,27.609,
2000,3,1818.71,22.004,0.045,0.006,0.028,0.003,0.002,0.001,8.844,1849.64,30.933,
2000,4,1902.46,19.708,0.118,0.01,0.029,0.003,0.002,0.001,7.191,1929.52,27.062,
2000,5,1965.5,17.091,0.046,0.086,0.033,0.004,0.001,0.001,6.926,1989.69,24.188,
2000,6,2027.35,22.028,0.043,0.006,0.027,0.003,0.002,0.001,8.9,2058.36,31.01,
2000,7,2096.74,17.474,0.044,0.007,0.027,0.003,0.001,0.001,7.291,2121.59,24.848,
2000,8,2158.01,16.926,0.043,0.005,0.028,0.002,0.002,0.001,7.222,2182.24,24.229,
2000,9,2223.26,22.232,0.086,0.006,0.029,0.003,0.001,0.002,8.249,2253.87,30.608,
2000,10,2295.18,19.905,0.11,0.015,0.029,0.003,0.002,0.001,7.847,2323.09,27.912,
2000,11,2360.5,17.28,0.044,0.006,0.027,0.002,0.002,0.001,7.55,2385.41,24.912,
2000,12,2424.68,18.136,0.048,0.006,0.03,0.007,0.002,0.003,8.049,2450.96,26.281,
2000,13,2487.52,17.471,0.043,0.005,0.027,0.003,0.001,0.001,7.356,2512.43,24.907,
2000,14,2552.37,18.194,0.044,0.006,0.027,0.003,0.002,0.001,9.052,2579.7,27.329,
2000,15,2624.82,22.091,0.047,0.007,0.029,0.003,0.002,0,10.238,2657.24,32.417,
2000,16,2701.24,19.774,0.24,0.008,0.05,0.005,0.003,0.001,9.671,2730.99,29.752,
2000,17,2770.22,20.348,0.044,0.006,0.028,0.002,0.002,0.001,7.526,2798.18,27.957,
2000,18,2837.9,16.514,0.043,0.007,0.028,0.003,0.002,0.001,7.138,2861.64,23.736,
2000,19,2896.02,16.487,0.064,0.008,0.027,0.003,0.001,0.001,7.168,2919.78,23.759,
2000,20,2953.56,16.394,0.042,0.007,0.027,0.002,0.002,0.001,6.88,2976.91,23.355,
4000,1,3030.8,27.328,0.044,0.006,0.026,0.003,0.002,0.001,11.659,3069.86,39.069,
4000,2,3127.75,19.675,0.058,0.007,0.028,0.003,0.002,0.001,11.634,3159.15,31.408,
4000,3,3214.09,19.145,0.079,0.008,0.04,0.002,0.002,0.001,10.902,3244.27,30.179,
4000,4,3300,24.776,0.044,0.006,0.028,0.003,0.002,0.001,14.237,3339.09,39.097,
4000,5,3406.67,21.963,0.064,0.019,0.027,0.003,0.002,0.001,12.147,3440.89,34.226,
4000,6,3505.25,25.828,0.044,0.007,0.027,0.003,0.002,0.001,12.868,3544.03,38.78,
4000,7,3607.11,22.267,0.044,0.007,0.028,0.003,0.002,0.001,11.849,3641.32,34.201,
4000,8,3700.11,24.568,0.045,0.006,0.028,0.003,0.002,0.001,13.417,3738.18,38.07,
4000,9,3802.55,23.278,0.042,0.006,0.027,0.002,0.002,0.001,11.778,3837.69,35.136,
4000,10,3901.98,23.839,0.044,0.007,0.027,0.003,0.001,0.001,11.228,3937.13,35.15,
4000,11,4001.88,24.101,0.088,0.009,0.052,0.008,0.031,0.004,12.243,4038.41,36.536,
4000,12,4097.31,22.168,0.085,0.02,0.043,0.003,0.001,0.001,11.957,4131.58,34.278,
