Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Hash Table Creation,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
1024,2,68.3032,5.0536,0.0532,6.6054,1.7022,0.0152,0.003,0.0032,0.0068,0.0078,0.0012,0.0004,2.5492,1.5378,12.4322,17.539,
1024,3,210.125,5.623,0.0576,8.8056,1.686,0.0174,0.0034,0.0046,0.0054,0.0088,0.0012,0.0008,2.4644,1.4992,14.4968,20.1774,
1024,4,366.665,6.6884,0.084,10.6546,1.6832,0.0182,0.0036,0.0056,0.0056,0.0108,0.001,0.001,2.501,1.5104,16.395,23.1674,
1024,5,535.52,7.7508,0.089,12.7646,1.6256,0.02,0.0042,0.006,0.0064,0.012,0.001,0.001,1.5002,1.5332,17.4742,25.314,
1024,6,719.478,8.79,0.1144,15.1806,1.7136,0.023,0.0044,0.008,0.0068,0.0134,0.0012,0.0016,2.5034,1.5062,20.9622,29.8666,
1024,7,924.037,9.9466,0.1346,17.2744,1.6774,0.0264,0.0094,0.0092,0.0072,0.0174,0.0014,0.0012,2.5332,1.5182,23.0754,33.1566,
1024,8,1144.62,11.0432,0.1504,19.1184,1.6514,0.027,0.0046,0.0106,0.007,0.0246,0.001,0.0018,2.5216,1.5076,24.8756,36.0692,
1024,9,1380.08,12.172,0.151,21.0444,1.6548,0.0286,0.005,0.0112,0.0072,0.0178,0.0016,0.0014,2.4972,1.4888,26.758,39.081,
1024,10,1632.02,13.3026,0.2018,23.2894,1.6804,0.031,0.0054,0.0128,0.0076,0.019,0.0018,0.0016,2.5226,1.5536,29.1252,42.6296,
1024,11,1901.2,14.4344,0.1822,25.5548,1.6934,0.0334,0.0056,0.0138,0.0092,0.0254,0.0038,0.0018,2.529,1.5386,31.4088,46.0254,
1024,12,2184.48,15.3956,0.2076,27.3468,1.64,0.0344,0.006,0.017,0.0092,0.0224,0.0014,0.002,2.441,1.5036,33.0238,48.627,
1024,13,2480.35,16.716,0.2254,30.0298,1.6576,0.039,0.006,0.017,0.0094,0.0238,0.002,0.002,1.4652,1.5326,34.7844,51.7258,
1024,14,2795.27,17.7166,0.2374,31.8046,1.6546,0.0512,0.0118,0.0206,0.01,0.025,0.002,0.0024,2.488,1.6176,37.6878,55.6418,
1024,15,3126.92,18.7378,0.2754,33.2882,1.6576,0.0418,0.0068,0.0224,0.0106,0.0266,0.002,0.0024,2.4632,1.4806,39.0022,58.0154,
1024,16,3473.71,20.0188,0.2666,36.568,1.6348,0.044,0.007,0.0216,0.0112,0.0278,0.002,0.0026,2.5182,1.5022,42.3394,62.6248,
1024,17,3839.62,20.7438,0.281,37.9638,1.6524,0.0458,0.0072,0.0216,0.011,0.0292,0.0022,0.0028,2.4698,1.472,43.6778,64.7026,
1024,18,4218.68,21.8918,0.2974,40.4908,1.6902,0.0498,0.0076,0.0226,0.0114,0.0312,0.0022,0.0032,2.5272,1.4898,46.326,68.5152,
1024,19,4614.92,22.9068,0.3016,42.5452,1.6948,0.0516,0.008,0.027,0.011,0.035,0.0024,0.003,2.502,1.5002,48.3802,71.5886,
1024,20,5026.09,24.0722,0.3704,44.4958,1.6292,0.0514,0.008,0.0276,0.0118,0.0342,0.0024,0.0032,2.4628,1.5064,50.2328,74.6754,
1024,70,5771.24,78.7632,1.1304,150.227,1.6758,0.1566,0.021,0.082,0.0326,0.1102,0.0056,0.0112,2.5928,1.5124,156.427,236.321,
1024,80,7066.21,89.2982,1.2972,171.171,1.6418,0.1804,0.0306,0.092,0.0322,0.1206,0.0062,0.0108,2.4696,1.568,177.324,267.919,
1024,90,8520.13,100.765,1.4088,192.379,1.6516,0.201,0.0286,0.1058,0.036,0.1462,0.0068,0.0196,2.504,1.5366,198.615,300.789,
1024,100,10137.5,111.234,1.5832,214.147,1.6488,0.2136,0.028,0.1148,0.0438,0.1504,0.0072,0.013,2.4676,1.5158,220.35,333.167,
1024,110,11917.5,121.856,1.7616,235.647,1.7112,0.2576,0.0364,0.1294,0.0462,0.1778,0.0084,0.0138,2.4788,1.5176,242.024,365.641,
1024,116,13838.1,129.766,1.8568,248.285,1.6744,0.259,0.0326,0.1324,0.0472,0.1766,0.008,0.0148,2.552,1.5076,254.69,386.313,
