Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Permutation Time on Sub,Encrypt Of Tags,Search and  decryption time on B1,PRP reverse B2,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
1024,2,1855.71,5.53785,0.0445,7.88101,3.09648,0.01408,0.00282,0.00406,0.00539,0.00267,0.00083,2.9142,2.93462,16.8562,22.4385,
1024,3,5705.38,6.78301,0.05152,10.4063,3.0781,0.01664,0.00318,0.00579,0.00690001,0.00264,0.00095,2.89862,2.90797,19.3271,26.1616,
1024,4,9940.76,8.10021,0.0793401,12.9765,3.0831,0.02031,0.00359,0.00724001,0.00852,0.00279,0.00093,2.90283,2.90709,21.9128,30.0924,
1024,5,14506.8,9.41139,0.08689,15.5584,3.0729,0.02302,0.004,0.00893,0.01021,0.0028,0.00108,1.59744,2.90545,23.1842,32.6825,
1024,6,19460,10.7466,0.1134,18.1171,3.0863,0.02624,0.00414,0.01046,0.01206,0.00296,0.00112,2.90476,2.9065,27.0717,37.9317,
1024,7,24854.6,12.0869,0.12162,20.6492,3.07028,0.02952,0.00446,0.01214,0.01374,0.0032,0.00106,2.88886,2.90248,29.5749,41.7834,
1024,8,30625.2,13.3527,0.14488,23.2405,3.08068,0.03278,0.00458,0.01376,0.01538,0.00324,0.00112,2.90096,2.90526,32.1983,45.6959,
1024,9,36781.8,14.625,0.1516,25.7791,3.07704,0.0352,0.0052,0.01524,0.017,0.0034,0.00132,2.88688,2.9,34.7204,49.497,
1024,10,43324.9,15.9536,0.17884,28.3057,3.0794,0.03876,0.00532,0.01692,0.01904,0.00328,0.00136,2.8922,2.90612,37.2681,53.4005,
1024,11,50256.1,17.221,0.18524,30.8727,3.10944,0.043,0.0058,0.01856,0.0208,0.00368,0.00156,2.91176,2.9074,39.8947,57.3009,
1024,12,57577.2,18.5564,0.21284,33.3995,3.08192,0.04492,0.00604,0.01992,0.0224,0.00356,0.00216,2.89548,2.91148,42.3874,61.1566,
1024,13,65227.1,19.8872,0.22008,36.0349,3.08372,0.04812,0.00652,0.02152,0.02424,0.0036,0.00132,1.6,2.90808,43.732,63.8393,
1024,14,73263.7,21.2091,0.24544,38.4699,3.07936,0.05136,0.00616,0.0236,0.02552,0.0044,0.00128,2.89104,2.91752,47.4701,68.9247,
1024,15,81753.4,22.4979,0.25312,41.1272,3.07648,0.05384,0.00744,0.02488,0.02712,0.00432,0.00168,2.89024,2.90576,50.119,72.87,
1024,16,90629,23.791,0.27888,43.6429,3.07648,0.058,0.00728,0.02608,0.02944,0.00432,0.00168,2.886,2.90224,52.6344,76.7043,
1024,17,99889.7,25.1006,0.28528,46.2055,3.08544,0.06048,0.00768,0.02808,0.03136,0.00416,0.00184,2.8904,2.89984,55.2148,80.6006,
1024,18,109548,26.3902,0.31032,48.7787,3.0712,0.0632,0.008,0.02928,0.0332,0.00392,0.00208,2.894,2.91184,57.7954,84.496,
1024,19,119585,27.6986,0.31904,51.256,3.07344,0.06712,0.008,0.03072,0.03488,0.00432,0.00216,2.88664,2.91536,60.2786,88.2963,
1024,20,130002,29.0244,0.3448,53.7639,3.07744,0.07072,0.0084,0.03264,0.03656,0.00496,0.00136,2.89488,2.9032,62.7941,92.1633,
1024,70,150243,94.4117,1.18624,181.392,3.08128,0.22624,0.0232,0.11152,0.15024,0.00831999,0.00704,2.8952,2.92416,190.819,286.417,
1024,80,182211,107.577,1.35968,206.942,3.08752,0.25712,0.02592,0.12784,0.17696,0.00911999,0.00704,2.90736,2.91488,216.456,325.392,
1024,90,218061,120.528,1.52448,232.252,3.07552,0.28768,0.0288,0.14288,0.20384,0.0104,0.00879999,2.90656,2.92096,241.837,363.89,
1024,100,257861,134.053,1.7024,258.47,3.09392,0.31808,0.03248,0.16,0.23536,0.00992,0.01008,2.91184,2.91808,268.16,403.915,
1024,110,301678,148.353,1.8896,286.906,3.1376,0.35488,0.03776,0.17984,0.26624,0.01376,0.0096,2.96864,2.9776,296.851,447.094,
1024,116,348920,155.17,1.98144,299.211,3.09632,0.36736,0.0384,0.184,0.28544,0.0144,0.00992,2.93184,2.92448,309.063,466.215,
