Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Encrypt Of Tags,Search and  decryption time on B1,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
1,2,840.36,5.74858,4.14767,4.14306,0.00818,0.01386,0.00442,0.00579,0.00128,2.75309,0.00776,6.93744,16.8337,
1,3,2721.53,7.05466,5.47707,5.46815,0.00725,0.01635,0.00605,0.00719,0.00123,2.74366,0.00676,8.25664,20.7884,
1,4,5009.36,8.43559,6.85196,6.85157,0.00732,0.01947,0.00775,0.00877,0.00137,2.75143,0.00707,9.65475,24.9423,
1,5,7649.42,9.87974,8.26339,8.2341,0.00783,0.02334,0.00946,0.01094,0.00154,1.38834,0.00688,9.68243,27.8256,
1,6,10703.3,11.2486,9.60686,9.56108,0.0076,0.0263,0.01116,0.01223,0.00144,2.75802,0.00723,12.3851,33.2405,
1,7,14233,12.6254,10.9923,10.9394,0.0076,0.02976,0.01281,0.01411,0.00161,2.74779,0.00683,13.7599,37.3776,
1,8,18197.4,14.1386,12.472,12.4259,0.00941,0.03434,0.01489,0.01595,0.00189,2.77876,0.00792,15.2891,41.8996,
1,9,22588.4,15.4073,13.7351,13.6931,0.00804,0.0363,0.01614,0.01752,0.00164,2.75668,0.00696,16.5364,45.6788,
1,10,27355.5,16.7436,15.079,15.0092,0.00722,0.03904,0.01756,0.019,0.00162,2.7447,0.00684,17.8452,49.6677,
1,11,32528.2,18.1018,16.4205,16.3742,0.00744,0.04214,0.0196,0.02036,0.00196,2.74562,0.00656,19.2179,53.7402,
1,12,38115.4,19.482,17.8551,17.7469,0.00752,0.04564,0.02096,0.0224,0.00172,2.75176,0.00648,20.6034,57.9404,
1,13,44050.4,20.8924,19.2124,19.0799,0.00756,0.04868,0.02296,0.02368,0.00216,1.3774,0.00692,20.5692,60.6741,
1,14,50393.1,22.2592,20.582,20.4465,0.00784,0.0518,0.0246,0.02572,0.0022,2.74508,0.00648,23.3102,66.1514,
1,15,57215.4,23.6194,21.9238,21.7841,0.00768,0.05528,0.02636,0.02728,0.00212,2.74624,0.00672,24.6558,70.199,
1,16,64442,24.9929,23.3002,23.1594,0.00784,0.0588,0.02752,0.02888,0.00236,2.75032,0.00704,26.0422,74.3352,
1,17,72089.3,26.3898,24.746,24.4946,0.0084,0.06208,0.02952,0.0308,0.00184,2.74736,0.00672,27.3814,78.5171,
1,18,80148,27.7755,26.0808,25.8884,0.00792,0.06496,0.03144,0.03272,0.00216,2.7476,0.00712,28.7823,82.6386,
1,19,88624.9,29.1754,27.4651,27.2562,0.0076,0.06896,0.03312,0.03328,0.00272,2.7516,0.00696,30.1605,86.801,
1,20,97512.8,30.5394,28.8277,28.6318,0.00824,0.07264,0.03448,0.0356,0.00296,2.7488,0.00648,31.541,90.9082,
1,70,116791,99.3534,97.3778,96.5991,0.0096,0.23504,0.1184,0.11928,0.00648,2.74336,0.00696,99.8382,296.569,
1,80,148499,113.151,111.112,110.329,0.01088,0.2668,0.1352,0.13512,0.00895999,2.7504,0.00744,113.644,337.907,
1,90,184327,126.984,124.78,123.595,0.00879999,0.30112,0.15168,0.15184,0.00816,2.75808,0.00736,126.982,378.746,
1,100,224293,140.876,138.327,137.534,0.01104,0.33312,0.16928,0.1696,0.00911999,2.7568,0.008,140.991,420.194,
1,110,268316,154.499,152.035,150.958,0.01136,0.3624,0.1864,0.1848,0.01152,2.76208,0.00672,154.483,461.017,
1,116,315692,163.076,161.171,159.637,0.00992,0.3872,0.19584,0.1968,0.01184,2.77344,0.00768,163.22,487.467,
1024,2,342279,5.76032,4.15776,4.18528,3.23808,0.01248,0.00544,0.00672,0.00128,3.05984,3.0608,13.5699,23.488,
1024,3,346326,7.13824,5.4976,5.53536,3.24192,0.01984,0.00672,0.00384,0.00192,3.05856,3.05376,14.9219,27.5578,
