Data Size(KB),No. Tags,Launch Time,Init ,Decryption key generation,Encryption of KP-ABE,Encrypt of Payload by Pub,Interests Encryption,Encrypt Of Tags,Search and  decryption time on B1,Evaluation of tree by B3,Decryption of KP-ABE,Decryption of Payload by sub,Total Time without Init,Total Time,
32768,2,36611.1,5.86411,4.16917,13.8076,104.921,0.02217,0.00529,0.00693,0.00179,12.4726,102.889,234.126,244.159,
32768,3,109809,7.2412,5.52784,15.15,104.939,0.02592,0.00664,0.00824,0.00152,12.4225,102.955,235.509,248.278,
32768,4,183416,8.65328,6.90752,16.531,104.958,0.028,0.00784,0.0112,0.0016,12.4373,102.798,236.773,252.334,
32768,5,257518,10.0698,8.29648,18.1462,104.578,0.03456,0.0112,0.0112,0.00192,11.2939,102.912,236.989,255.355,
32768,6,331918,11.4006,9.62432,19.4419,104.387,0.03744,0.01216,0.0128,0.0016,12.6566,102.762,239.312,260.337,
32768,7,406789,12.7312,10.9558,20.7242,104.766,0.03936,0.0144,0.01568,0.00096,12.6781,102.392,240.631,264.318,
32768,8,482077,14.1936,12.3862,22.1859,104.367,0.04384,0.01728,0.01568,0.00288,12.6701,102.822,242.125,268.705,
32768,9,557843,15.6272,13.7325,23.5261,104.422,0.04576,0.01728,0.01984,0.00256,12.6538,102.773,243.46,272.819,
32768,10,633852,16.9504,15.1341,24.7718,104.304,0.04736,0.02176,0.01856,0.00256,12.5523,102.314,244.033,276.117,
32768,11,710431,18.5107,16.6522,26.4141,104.769,0.04864,0.02624,0.01536,0.00192,12.7002,103.128,247.103,282.266,
32768,12,787533,19.7638,17.9142,27.5718,104.374,0.05824,0.02176,0.02368,0.00512,12.6298,102.884,247.569,285.247,
32768,13,864781,21.1808,19.2499,28.9664,104.339,0.05696,0.02496,0.02496,0.00384,11.2416,102.623,247.28,287.711,
32768,14,942420,22.5229,20.6605,30.2752,104.363,0.06272,0.02304,0.02752,0.0032,12.5984,102.697,250.05,293.233,
32768,15,1.02058e+06,23.9642,22.0518,31.6941,104.452,0.06848,0.02688,0.0288,0.0032,12.5958,102.55,251.419,297.436,
32768,16,1.09903e+06,25.2889,23.4214,32.9619,104.317,0.06528,0.02816,0.03584,0.00448,12.5011,102.039,251.953,300.663,
32768,17,1.17786e+06,26.7674,24.8653,34.4666,104.499,0.06784,0.02816,0.03712,0.00256,12.4928,102.519,254.113,305.746,
32768,18,1.25723e+06,28.0998,26.0992,35.849,104.439,0.0806399,0.02944,0.02688,0.00256,12.5875,102.486,255.501,309.7,
32768,19,1.33701e+06,29.449,27.5558,37.2198,104.375,0.0819199,0.03584,0.03072,0.00896,12.5594,103.581,257.893,314.898,
32768,20,1.41725e+06,30.8685,28.9408,38.6138,104.463,0.0870399,0.03584,0.04736,0.00256,12.5466,102.708,258.505,318.314,
32768,70,1.508e+06,100.27,97.9225,106.693,104.52,0.24832,0.11776,0.12032,0.0128,12.4826,102.65,326.844,525.037,
32768,80,1.61093e+06,114.017,111.308,119.94,104.296,0.2752,0.1408,0.13952,0.00768,12.3328,102.15,339.282,564.607,
32768,90,1.71788e+06,127.831,125.272,133.426,104.312,0.30464,0.1536,0.16,0.00768,12.3072,102.049,352.721,605.824,
32768,100,1.82895e+06,141.611,139.169,147.162,104.285,0.35712,0.16,0.17024,0.0064,12.32,102.254,366.715,647.496,
32768,110,1.94413e+06,155.537,152.68,160.503,104.292,0.3776,0.18816,0.18304,0.0192,12.3507,102.344,380.257,688.474,
32768,116,2.06259e+06,163.793,161.125,168.813,104.305,0.39552,0.18816,0.20608,0.01664,12.3482,102.068,388.34,713.258,
